"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;124;9,43
2;"la Xerea";1;12;124;4,63
3;"el Carme";1;13;124;13,63
4;"el Pilar";1;14;124;12,05
5;"el Mercat";1;15;124;12,18
6;"Sant Francesc";1;16;124;4,53
7;"Russafa";2;21;124;10,19
8;"el Pla del Remei";2;22;124;2,2
9;"Gran Via";2;23;124;4,65
10;"el Botànic";3;31;124;11,22
11;"la Roqueta";3;32;124;8,24
12;"la Petxina";3;33;124;9,05
13;"Arrancapins";3;34;124;7,86
14;"Campanar";4;41;124;10,49
15;"les Tendetes";4;42;124;11,06
16;"el Calvari";4;43;124;8,81
17;"Sant Pau";4;44;124;7
18;"Marxalenes";5;51;124;9,48
19;"Morvedre";5;52;124;10,07
20;"Trinitat";5;53;124;9,64
21;"Tormos";5;54;124;10,28
22;"Sant Antoni";5;55;124;9,57
23;"Exposició";6;61;124;3,4
24;"Mestalla";6;62;124;6,38
25;"Jaume Roig";6;63;124;2,7
26;"Ciutat Universitària";6;64;124;4,4
27;"Nou Moles";7;71;124;9,21
28;"Soternes";7;72;124;8,13
29;"Tres Forques";7;73;124;9,26
30;"la Fontsanta";7;74;124;10,47
31;"la Llum";7;75;124;10,47
32;"Patraix";8;81;124;9,63
33;"Sant Isidre";8;82;124;10,33
34;"Vara de Quart";8;83;124;9,02
35;"Safranar";8;84;124;10,53
36;"Favara";8;85;124;9,06
37;"la Raiosa";9;91;124;10,04
38;"l'Hort de Senabre";9;92;124;9,83
39;"la Creu Coberta";9;93;124;10,52
41;"Camí Real";9;95;124;9,19
42;"Mont-Olivet";10;101;124;8,74
43;"en Corts";10;102;124;10,24
44;"Malilla";10;103;124;9,77
45;"Fonteta de Sant Lluís";10;104;124;11,17
46;"na Rovella";10;105;124;7,34
47;"la Punta";10;106;124;11,25
48;"Ciutat de les Arts i les Ciències";10;107;124;8,14
49;"el Grau";11;111;124;10,94
50;"el Cabanyal-el Canyamelar";11;112;124;12,91
51;"la Malva-rosa";11;113;124;11,85
52;"Beteró";11;114;124;10,73
53;"Natzaret";11;115;124;10,15
54;"Aiora";12;121;124;10,8
55;"Albors";12;122;124;8,57
56;"la Creu del Grau";12;123;124;9,3
57;"Camí Fondo";12;124;124;8,74
58;"Penya-roja";12;125;124;5,32
59;"l'Illa Perduda";13;131;124;11,06
60;"Ciutat Jardí";13;132;124;9,73
61;"l'Amistat";13;133;124;8,79
62;"la Bega Baixa";13;134;124;7,81
63;"la Carrasca";13;135;124;9,18
64;"Benimaclet";14;141;124;9,86
65;"Camí de Vera";14;142;124;11,81
66;"Orriols";15;151;124;8,99
67;"Torrefiel";15;152;124;9,92
68;"Sant Llorenç";15;153;124;8,81
69;"Benicalap";16;161;124;9,45
70;"Ciutat Fallera";16;162;124;9,79
71;"Benifaraig";17;171;124;17,3
72;"Poble Nou";17;172;124;10,28
73;"Carpesa";17;173;124;19,01
74;"Cases de Bàrcena";17;174;124;16,22
75;"Mauella";17;175;124;16,22
76;"Massarrojos";17;176;124;10,83
77;"Borbotó";17;177;124;12,69
78;"Benimàmet";18;181;124;9,63
79;"Beniferri";18;182;124;8,42
80;"el Forn d'Alcedo";19;191;124;10,34
81;"el Castellar-l'Oliverar";19;192;124;15,43
82;"Pinedo";19;193;124;13,26
83;"el Saler";19;194;124;13,93
84;"el Palmar";19;195;124;21,9
85;"el Perellonet";19;196;124;6,88
86;"la Torre";19;197;124;13,87
87;"Faitanar";19;198;124;13,87
