"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;109;16,25
2;"la Xerea";1;12;109;11,91
3;"el Carme";1;13;109;17,58
4;"el Pilar";1;14;109;16,64
5;"el Mercat";1;15;109;14,82
6;"Sant Francesc";1;16;109;9,6
7;"Russafa";2;21;109;15,39
8;"el Pla del Remei";2;22;109;7,91
9;"Gran Via";2;23;109;12,99
10;"el Botànic";3;31;109;14,44
11;"la Roqueta";3;32;109;15,16
12;"la Petxina";3;33;109;15,92
13;"Arrancapins";3;34;109;15,15
14;"Campanar";4;41;109;19,51
15;"les Tendetes";4;42;109;21,22
16;"el Calvari";4;43;109;27,22
17;"Sant Pau";4;44;109;16,63
18;"Marxalenes";5;51;109;22,74
19;"Morvedre";5;52;109;19,64
20;"Trinitat";5;53;109;19,69
21;"Tormos";5;54;109;21,21
22;"Sant Antoni";5;55;109;20,34
23;"Exposició";6;61;109;9,15
24;"Mestalla";6;62;109;14,99
25;"Jaume Roig";6;63;109;10,75
26;"Ciutat Universitària";6;64;109;13,33
27;"Nou Moles";7;71;109;22,43
28;"Soternes";7;72;109;24,02
29;"Tres Forques";7;73;109;24,88
30;"la Fontsanta";7;74;109;26,85
31;"la Llum";7;75;109;22,42
32;"Patraix";8;81;109;20,12
33;"Sant Isidre";8;82;109;22,01
34;"Vara de Quart";8;83;109;20,89
35;"Safranar";8;84;109;20,38
36;"Favara";8;85;109;21,45
37;"la Raiosa";9;91;109;19,14
38;"l'Hort de Senabre";9;92;109;24,14
39;"la Creu Coberta";9;93;109;21,76
41;"Camí Real";9;95;109;19,57
42;"Mont-Olivet";10;101;109;19,09
43;"en Corts";10;102;109;19,79
44;"Malilla";10;103;109;21,33
45;"Fonteta de Sant Lluís";10;104;109;19,3
46;"na Rovella";10;105;109;25,67
47;"la Punta";10;106;109;16,82
48;"Ciutat de les Arts i les Ciències";10;107;109;15,56
49;"el Grau";11;111;109;22,1
50;"el Cabanyal-el Canyamelar";11;112;109;22,3
51;"la Malva-rosa";11;113;109;23,83
52;"Beteró";11;114;109;22,77
53;"Natzaret";11;115;109;24,5
54;"Aiora";12;121;109;23,44
55;"Albors";12;122;109;21,45
56;"la Creu del Grau";12;123;109;23,74
57;"Camí Fondo";12;124;109;20,16
58;"Penya-roja";12;125;109;13,48
59;"l'Illa Perduda";13;131;109;23,36
60;"Ciutat Jardí";13;132;109;21,07
61;"l'Amistat";13;133;109;22,66
62;"la Bega Baixa";13;134;109;17,23
63;"la Carrasca";13;135;109;20,37
64;"Benimaclet";14;141;109;19,3
65;"Camí de Vera";14;142;109;20,35
66;"Orriols";15;151;109;26,71
67;"Torrefiel";15;152;109;25,03
68;"Sant Llorenç";15;153;109;19,19
69;"Benicalap";16;161;109;23,64
70;"Ciutat Fallera";16;162;109;27,34
71;"Benifaraig";17;171;109;13,58
72;"Poble Nou";17;172;109;17,47
73;"Carpesa";17;173;109;20,47
74;"Cases de Bàrcena";17;174;109;21,95
75;"Mauella";17;175;109;21,95
76;"Massarrojos";17;176;109;14,91
77;"Borbotó";17;177;109;17,27
78;"Benimàmet";18;181;109;27,27
79;"Beniferri";18;182;109;17,23
80;"el Forn d'Alcedo";19;191;109;20,86
81;"el Castellar-l'Oliverar";19;192;109;14,13
82;"Pinedo";19;193;109;15,03
83;"el Saler";19;194;109;20,08
84;"el Palmar";19;195;109;18,38
85;"el Perellonet";19;196;109;17,06
86;"la Torre";19;197;109;21,65
87;"Faitanar";19;198;109;21,65
