"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;110;17,4
2;"la Xerea";1;12;110;18,93
3;"el Carme";1;13;110;14,68
4;"el Pilar";1;14;110;15,43
5;"el Mercat";1;15;110;15,92
6;"Sant Francesc";1;16;110;20,75
7;"Russafa";2;21;110;18,5
8;"el Pla del Remei";2;22;110;21,69
9;"Gran Via";2;23;110;23,08
10;"el Botànic";3;31;110;18,32
11;"la Roqueta";3;32;110;19,33
12;"la Petxina";3;33;110;20,16
13;"Arrancapins";3;34;110;21,08
14;"Campanar";4;41;110;19,34
15;"les Tendetes";4;42;110;15,42
16;"el Calvari";4;43;110;16,83
17;"Sant Pau";4;44;110;27,19
18;"Marxalenes";5;51;110;16,62
19;"Morvedre";5;52;110;16,9
20;"Trinitat";5;53;110;16,56
21;"Tormos";5;54;110;19,09
22;"Sant Antoni";5;55;110;19,33
23;"Exposició";6;61;110;26,25
24;"Mestalla";6;62;110;23,24
25;"Jaume Roig";6;63;110;25,6
26;"Ciutat Universitària";6;64;110;23,2
27;"Nou Moles";7;71;110;18,22
28;"Soternes";7;72;110;18,81
29;"Tres Forques";7;73;110;15,82
30;"la Fontsanta";7;74;110;16,49
31;"la Llum";7;75;110;19,31
32;"Patraix";8;81;110;19,12
33;"Sant Isidre";8;82;110;19,79
34;"Vara de Quart";8;83;110;18,24
35;"Safranar";8;84;110;20,57
36;"Favara";8;85;110;18,59
37;"la Raiosa";9;91;110;19,65
38;"l'Hort de Senabre";9;92;110;18,22
39;"la Creu Coberta";9;93;110;18,76
41;"Camí Real";9;95;110;20,97
42;"Mont-Olivet";10;101;110;18,75
43;"en Corts";10;102;110;18,16
44;"Malilla";10;103;110;19,67
45;"Fonteta de Sant Lluís";10;104;110;19,17
46;"na Rovella";10;105;110;14,63
47;"la Punta";10;106;110;20,09
48;"Ciutat de les Arts i les Ciències";10;107;110;26,97
49;"el Grau";11;111;110;17,12
50;"el Cabanyal-el Canyamelar";11;112;110;16,23
51;"la Malva-rosa";11;113;110;16,51
52;"Beteró";11;114;110;19,07
53;"Natzaret";11;115;110;14,78
54;"Aiora";12;121;110;17,65
55;"Albors";12;122;110;18,5
56;"la Creu del Grau";12;123;110;18,63
57;"Camí Fondo";12;124;110;19,01
58;"Penya-roja";12;125;110;30,3
59;"l'Illa Perduda";13;131;110;17,29
60;"Ciutat Jardí";13;132;110;18,6
61;"l'Amistat";13;133;110;17,62
62;"la Bega Baixa";13;134;110;18,29
63;"la Carrasca";13;135;110;21,24
64;"Benimaclet";14;141;110;17,17
65;"Camí de Vera";14;142;110;16,4
66;"Orriols";15;151;110;14,64
67;"Torrefiel";15;152;110;18,09
68;"Sant Llorenç";15;153;110;26,07
69;"Benicalap";16;161;110;20,1
70;"Ciutat Fallera";16;162;110;15,92
71;"Benifaraig";17;171;110;17,28
72;"Poble Nou";17;172;110;17,05
73;"Carpesa";17;173;110;12,78
74;"Cases de Bàrcena";17;174;110;12,2
75;"Mauella";17;175;110;12,2
76;"Massarrojos";17;176;110;22,62
77;"Borbotó";17;177;110;13,18
78;"Benimàmet";18;181;110;16,96
79;"Beniferri";18;182;110;25,11
80;"el Forn d'Alcedo";19;191;110;17,75
81;"el Castellar-l'Oliverar";19;192;110;20,04
82;"Pinedo";19;193;110;19,81
83;"el Saler";19;194;110;19,31
84;"el Palmar";19;195;110;16,18
85;"el Perellonet";19;196;110;22,67
86;"la Torre";19;197;110;18,17
87;"Faitanar";19;198;110;18,17
