"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;72;0,76;0,75;0,73;0,75;0,74;0,75;0,76;0,74;0,74;0,81;0,82;0,81;0,82;0,8
2;"la Xerea";1;12;72;0,71;0,7;0,8;0,81;0,82;0,83;0,83;0,85;0,84;0,82;0,83;0,81;0,81;0,82
3;"el Carme";1;13;72;0,66;0,66;0,66;0,68;0,69;0,69;0,7;0,72;0,7;0,71;0,7;0,7;0,7;0,72
4;"el Pilar";1;14;72;0,43;0,44;0,45;0,44;0,45;0,45;0,45;0,45;0,45;0,46;0,46;0,47;0,48;0,48
5;"el Mercat";1;15;72;0,39;0,4;0,4;0,41;0,41;0,41;0,44;0,43;0,44;0,43;0,43;0,43;0,43;0,44
6;"Sant Francesc";1;16;72;1,35;1,36;1,41;1,41;1,41;1,39;1,41;1,38;1,4;1,38;1,38;1,37;1,36;1,35
7;"Russafa";2;21;72;2,86;2,85;2,94;2,91;2,89;2,88;2,87;2,84;2,82;2,81;2,83;2,82;2,79;2,79
8;"el Pla del Remei";2;22;72;1,32;1,32;1,43;1,42;1,39;1,41;1,41;1,42;1,42;1,41;1,39;1,37;1,37;1,38
9;"Gran Via";2;23;72;1,59;1,62;1,68;1,67;1,67;1,67;1,66;1,66;1,64;1,63;1,62;1,61;1,6;1,61
10;"el Botànic";3;31;72;0,73;0,75;0,77;0,79;0,79;0,78;0,77;0,78;0,78;0,77;0,77;0,77;0,76;0,76
11;"la Roqueta";3;32;72;0,54;0,54;0,59;0,6;0,6;0,6;0,6;0,6;0,61;0,59;0,59;0,6;0,59;0,6
12;"la Petxina";3;33;72;1,82;1,82;1,85;1,86;1,85;1,82;1,79;1,78;1,8;1,78;1,76;1,77;1,78;1,78
13;"Arrancapins";3;34;72;2,9;2,88;3,03;3,02;2,99;3,02;3,01;2,96;2,94;2,91;2,89;2,86;2,84;2,85
14;"Campanar";4;41;72;1,72;1,7;1,94;1,92;1,91;1,91;1,86;1,85;1,85;1,72;1,72;1,69;1,66;1,65
15;"les Tendetes";4;42;72;0,63;0,63;0,66;0,65;0,64;0,64;0,65;0,64;0,64;0,63;0,63;0,63;0,62;0,63
16;"el Calvari";4;43;72;0,53;0,51;0,53;0,53;0,52;0,52;0,52;0,53;0,52;0,52;0,52;0,53;0,52;0,52
17;"Sant Pau";4;44;72;1,57;1,61;1,23;1,28;1,37;1,43;1,48;1,55;1,6;1,79;1,84;1,88;1,89;1,87
18;"Marxalenes";5;51;72;1,25;1,24;1,25;1,25;1,24;1,23;1,23;1,23;1,23;1,25;1,25;1,26;1,25;1,27
19;"Morvedre";5;52;72;1,13;1,13;1,15;1,14;1,13;1,12;1,13;1,12;1,11;1,1;1,11;1,08;1,09;1,08
20;"Trinitat";5;53;72;0,92;0,93;0,97;0,97;0,96;0,95;0,95;0,94;0,93;0,92;0,91;0,89;0,88;0,89
21;"Tormos";5;54;72;1,01;1,01;1,03;1,02;1,03;1,03;1,03;1,04;1,02;1,02;1,02;1,03;1,03;1,03
22;"Sant Antoni";5;55;72;1,17;1,19;1,2;1,2;1,19;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18
23;"Exposició";6;61;72;1;0,99;1,05;1,06;1,05;1,05;1,04;1,03;1,03;1,01;0,99;0,98;0,96;0,95
24;"Mestalla";6;62;72;1,93;1,93;2,06;2,07;2,07;2,12;2,12;2,09;2,11;2,08;2,05;2,02;2,03;2,08
25;"Jaume Roig";6;63;72;0,99;1;1,06;1,07;1,07;1,07;1,07;1,05;1,04;1,02;1;0,99;0,97;0,96
26;"Ciutat Universitària";6;64;72;0,4;0,4;0,42;0,42;0,41;0,41;0,39;0,39;0,38;0,38;0,37;0,37;0,36;0,36
27;"Nou Moles";7;71;72;3,08;3,02;3,06;3,05;2,99;2,98;2,97;2,96;2,94;2,92;2,92;2,9;2,9;2,92
28;"Soternes";7;72;72;0,68;0,67;0,64;0,64;0,64;0,63;0,65;0,66;0,67;0,69;0,65;0,68;0,62;0,59
29;"Tres Forques";7;73;72;0,93;0,92;0,96;0,95;0,94;0,92;0,93;0,91;0,91;0,91;0,91;0,92;0,92;0,91
30;"la Fontsanta";7;74;72;0,39;0,38;0,38;0,36;0,37;0,37;0,37;0,37;0,38;0,36;0,36;0,36;0,37;0,37
31;"la Llum";7;75;72;0,63;0,62;0,61;0,61;0,61;0,61;0,6;0,6;0,6;0,61;0,6;0,61;0,61;0,61
32;"Patraix";8;81;72;3,01;3,05;3,04;3,06;3,01;3,03;3,02;3,01;3,01;3,01;2,97;2,97;3;2,97
33;"Sant Isidre";8;82;72;1,34;1,32;1,27;1,25;1,26;1,27;1,3;1,26;1,27;1,28;1,28;1,29;1,3;1,31
34;"Vara de Quart";8;83;72;1,68;1,71;1,72;1,7;1,75;1,73;1,65;1,68;1,69;1,7;1,68;1,71;1,69;1,66
35;"Safranar";8;84;72;1,16;1,17;1,12;1,13;1,1;1,12;1,14;1,14;1,15;1,16;1,19;1,18;1,19;1,24
36;"Favara";8;85;72;0,42;0,42;0,4;0,41;0,42;0,41;0,42;0,42;0,42;0,42;0,43;0,43;0,44;0,44
37;"la Raiosa";9;91;72;1,79;1,79;1,81;1,79;1,77;1,77;1,77;1,77;1,77;1,73;1,73;1,79;1,78;1,79
38;"l'Hort de Senabre";9;92;72;2,1;2,08;2,03;2,05;2,04;2,03;2,04;2,04;2,03;2,04;2,04;2,03;2,03;2,02
39;"la Creu Coberta";9;93;72;0,85;0,84;0,85;0,85;0,84;0,84;0,84;0,83;0,82;0,82;0,82;0,8;0,8;0,8
41;"Camí Real";9;95;72;0,52;0,52;0,39;0,38;0,47;0,47;0,47;0,48;0,5;0,51;0,52;0,52;0,52;0,52
42;"Mont-Olivet";10;101;72;2,28;2,3;2,35;2,33;2,3;2,27;2,27;2,25;2,23;2,22;2,21;2,19;2,18;2,16
43;"en Corts";10;102;72;1,37;1,37;1,36;1,37;1,36;1,34;1,33;1,31;1,31;1,32;1,32;1,32;1,32;1,33
44;"Malilla";10;103;72;3,08;3,08;3,02;3,02;3,07;3,01;2,98;2,98;2,98;2,95;2,95;2,95;2,93;2,92
45;"Fonteta de Sant Lluís";10;104;72;0,41;0,41;0,42;0,42;0,43;0,43;0,43;0,42;0,41;0,4;0,43;0,43;0,43;0,45
46;"na Rovella";10;105;72;1,03;1,01;1,1;1,09;1,06;1,06;1,04;1,02;1,01;0,99;0,99;0,99;0,99;0,96
47;"la Punta";10;106;72;0,6;0,6;0,6;0,6;0,62;0,61;0,62;0,61;0,58;0,57;0,6;0,6;0,61;0,63
48;"Ciutat de les Arts i les Ciències";10;107;72;0,81;0,84;0,74;0,72;0,77;0,77;0,77;0,77;0,79;0,82;0,85;0,87;0,9;0,9
49;"el Grau";11;111;72;1,61;1,58;1,52;1,53;1,42;1,41;1,41;1,41;1,43;1,47;1,45;1,44;1,43;1,44
50;"el Cabanyal-el Canyamelar";11;112;72;2,43;2,42;2,44;2,46;2,42;2,41;2,42;2,37;2,37;2,33;2,31;2,3;2,33;2,35
51;"la Malva-rosa";11;113;72;1,69;1,69;1,72;1,71;1,7;1,69;1,68;1,68;1,67;1,67;1,65;1,62;1,6;1,59
52;"Beteró";11;114;72;1,02;1,01;1,02;1,02;1,02;1,02;1,01;1,01;1;0,94;0,98;0,96;0,92;0,92
53;"Natzaret";11;115;72;0,8;0,79;0,81;0,8;0,8;0,8;0,79;0,78;0,78;0,78;0,77;0,79;0,79;0,77
54;"Aiora";12;121;72;2,9;2,91;2,9;2,88;2,9;2,89;2,87;2,86;2,85;2,86;2,88;2,89;2,89;2,87
55;"Albors";12;122;72;1,04;1,03;1,07;1,06;1,04;1,03;1,04;1,04;1,05;1,04;1,05;1,05;1,05;1,06
56;"la Creu del Grau";12;123;72;1,63;1,63;1,62;1,63;1,62;1,6;1,61;1,6;1,58;1,59;1,6;1,59;1,6;1,6
57;"Camí Fondo";12;124;72;0,58;0,55;0,56;0,56;0,58;0,59;0,6;0,66;0,67;0,72;0,71;0,73;0,73;0,74
58;"Penya-roja";12;125;72;1,12;1,17;0,93;0,97;1,06;1,11;1,16;1,2;1,24;1,27;1,31;1,35;1,38;1,37
59;"l'Illa Perduda";13;131;72;1,08;1,08;1,09;1,08;1,09;1,08;1,08;1,07;1,05;1,04;1,03;1,03;1,01;1
60;"Ciutat Jardí";13;132;72;1,62;1,61;1,71;1,69;1,67;1,67;1,64;1,62;1,61;1,58;1,56;1,54;1,52;1,51
61;"l'Amistat";13;133;72;0,82;0,82;0,87;0,86;0,85;0,83;0,84;0,83;0,83;0,82;0,81;0,79;0,79;0,79
62;"la Bega Baixa";13;134;72;0,76;0,76;0,8;0,8;0,8;0,79;0,79;0,78;0,77;0,77;0,76;0,75;0,75;0,75
63;"la Carrasca";13;135;72;0,48;0,48;0,48;0,48;0,48;0,48;0,48;0,47;0,47;0,51;0,47;0,46;0,46;0,46
64;"Benimaclet";14;141;72;2,78;2,79;2,87;2,85;2,84;2,84;2,84;2,86;2,85;2,8;2,8;2,75;2,82;2,76
65;"Camí de Vera";14;142;72;0,69;0,7;0,66;0,65;0,65;0,65;0,65;0,66;0,67;0,69;0,68;0,69;0,68;0,68
66;"Orriols";15;151;72;1,75;1,75;1,82;1,82;1,79;1,77;1,74;1,77;1,79;1,73;1,74;1,74;1,75;1,77
67;"Torrefiel";15;152;72;3;2,99;3,06;3,05;3,02;3,03;3;3,01;3,03;2,98;2,99;3;3,01;3,01
68;"Sant Llorenç";15;153;72;1,04;1,07;0,86;0,89;0,95;0,99;1,04;1,04;1,03;1,13;1,15;1,18;1,18;1,18
69;"Benicalap";16;161;72;4,44;4,46;4,2;4,22;4,28;4,32;4,34;4,46;4,53;4,62;4,67;4,74;4,78;4,83
70;"Ciutat Fallera";16;162;72;0,74;0,73;0,74;0,73;0,73;0,72;0,72;0,72;0,71;0,71;0,72;0,73;0,72;0,73
71;"Benifaraig";17;171;72;0,16;0,16;0,15;0,16;0,16;0,17;0,17;0,17;0,18;0,18;0,18;0,18;0,18;0,18
72;"Poble Nou";17;172;72;0,18;0,18;0,17;0,17;0,17;0,17;0,18;0,17;0,18;0,17;0,18;0,18;0,17;0,17
73;"Carpesa";17;173;72;0,22;0,23;0,21;0,21;0,21;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22;0,22
74;"Cases de Bàrcena";17;174;72;0,08;0,07;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,04;0,04;0,06;0,06;0,05
75;"Mauella";17;175;72;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01
